,Date,Closing Day Market Value,Stay or Change Decision,Market Decision,Current Portfolio Value,Current Draw Down,Under/Over EMA,Under/Over EMA Rates,One Day Yield,Two Day Yield,Three Day Yield
120,6/22/1962,52.68,Stay,Long,9500.175690712122,-10.565031943764126,Under,Over,Down,Down,Down
121,6/25/1962,52.450001,Stay,Long,9458.698262680837,-10.955501822616931,Under,Over,Down,Down,Down
122,6/26/1962,52.32,Stay,Long,9435.254216743702,-11.176204846198534,Under,Over,Down,Down,Down
123,6/27/1962,52.599998,Stay,Long,9485.748335822063,-10.700851539710099,Under,Over,Down,Down,Down
124,6/28/1962,54.41,Change,Short,9812.159440615918,-7.628006607065407,Under,Over,Up,Up,Down
125,6/29/1962,54.75,Stay,Short,9750.8447152013,-8.205225459364573,Under,Over,Up,Up,Up
126,7/2/1962,55.860001,Stay,Short,9550.66999012791,-10.089676939573188,Under,Over,Up,Up,Up
127,7/3/1962,56.490002,Stay,Short,9437.057230345748,-11.159231216535915,Under,Over,Up,Up,Up
128,7/5/1962,56.810001,Stay,Short,9379.349433822357,-11.702494320997337,Under,Over,Up,Up,Up
129,7/6/1962,56.169998,Stay,Short,9494.765928556277,-10.615959623561967,Under,Over,Up,Up,Up
130,7/9/1962,56.549999,Stay,Short,9426.237525696628,-11.26108827383413,Under,Over,Down,Down,Up
131,7/10/1962,57.200001,Change,Long,9309.017837023235,-12.364598298634622,Under,Over,Up,Down,Up
132,7/11/1962,57.73,Change,Short,9395.272558323055,-11.552593500482244,Under,Over,Up,Up,Up
133,7/12/1962,58.029999,Stay,Short,9346.44920179743,-12.012218193058866,Under,Over,Up,Up,Up
134,7/13/1962,57.830002,Stay,Short,9378.997726409361,-11.705805306211769,Under,Over,Up,Up,Up
135,7/16/1962,57.830002,Change,Long,9378.997726409361,-11.705805306211769,Under,Over,Down,Up,Up
136,7/17/1962,56.779999,Change,Short,9208.70591577233,-13.308938041899076,Under,Over,Equal,Down,Up
137,7/18/1962,56.200001,Change,Long,9302.771275191166,-12.423403638251518,Under,Over,Down,Down,Down
138,7/19/1962,56.419998,Stay,Long,9339.187320312378,-12.0805817854584,Under,Over,Down,Down,Down
139,7/20/1962,56.810001,Stay,Long,9403.744413570053,-11.472839175082438,Under,Over,Up,Down,Down
140,7/23/1962,56.799999,Change,Short,9402.08878516011,-11.488425315673611,Under,Over,Up,Up,Up
141,7/24/1962,56.360001,Change,Long,9474.921537521477,-10.80277537687776,Under,Over,Down,Up,Up
142,7/25/1962,56.459999,Stay,Long,9491.732630266297,-10.64451519395364,Under,Over,Down,Down,Down
143,7/26/1962,56.77,Stay,Long,9543.848228198121,-10.153897231927822,Under,Over,Up,Down,Down
144,7/27/1962,57.200001,Change,Short,9616.137540898022,-9.473363252072742,Under,Over,Up,Up,Down
145,7/30/1962,57.830002,Stay,Short,9510.225370251324,-10.47042392830998,Under,Over,Up,Up,Up
146,7/31/1962,58.23,Stay,Short,9442.979990586311,-11.103474155807302,Under,Over,Up,Up,Up
147,8/1/1962,57.75,Stay,Short,9523.674849658622,-10.343810084490157,Under,Over,Up,Up,Up
148,8/2/1962,57.98,Stay,Short,9485.008563019806,-10.707815785329622,Under,Over,Down,Down,Up
149,8/3/1962,58.119999,Change,Long,9461.472730571339,-10.929382890163641,Under,Over,Up,Down,Up
150,8/6/1962,57.75,Change,Short,9401.239841564602,-11.496417298750305,Under,Over,Up,Up,Down
151,8/7/1962,57.360001,Stay,Short,9464.72857120911,-10.898732298751945,Under,Over,Down,Down,Equal
152,8/8/1962,57.509998,Change,Long,9440.310254801921,-11.128607136750901,Under,Over,Down,Down,Down
153,8/9/1962,57.57,Stay,Long,9450.159629095217,-11.035884801504414,Under,Over,Up,Down,Down
154,8/10/1962,57.549999,Change,Short,9446.876449613863,-11.066792761693488,Under,Over,Up,Up,Down
155,8/13/1962,57.630001,Change,Long,9433.744059989982,-11.190421511808301,Under,Over,Down,Up,Up
156,8/14/1962,58.25,Change,Short,9535.234807551304,-10.2349842586821,Under,Over,Up,Up,Up
157,8/15/1962,58.66,Stay,Short,9468.119850107596,-10.866806687075915,Under,Over,Up,Up,Up
158,8/16/1962,58.639999,Stay,Short,9471.393914165721,-10.835984539782494,Under,Over,Up,Up,Up
159,8/17/1962,59.009998,Change,Long,9410.826921143245,-11.406164214619785,Under,Over,Down,Up,Up
160,8/20/1962,59.369999,Change,Short,9468.239346448505,-10.865681744571699,Under,Over,Up,Up,Up
161,8/21/1962,59.119999,Stay,Short,9508.108975494855,-10.490347738521644,Under,Over,Up,Up,Up
162,8/22/1962,59.779999,Stay,Short,9402.853154812494,-11.481229514493752,Over,Over,Down,Up,Up
163,8/23/1962,59.700001,Stay,Short,9415.611117150293,-11.361125635229785,Over,Over,Up,Up,Up
164,8/24/1962,59.580002,Stay,Short,9434.748379614024,-11.180966813661797,Over,Over,Down,Up,Up
165,8/27/1962,59.549999,Change,Long,9439.533213535135,-11.135922228927708,Over,Over,Down,Down,Up
166,8/28/1962,58.790001,Stay,Long,9319.062575689779,-12.270036796719053,Over,Under,Down,Down,Down
167,8/29/1962,58.66,Stay,Long,9298.455543315307,-12.464032080821685,Over,Under,Down,Down,Down
168,8/30/1962,58.68,Stay,Long,9301.62583160147,-12.43418688207666,Over,Under,Down,Down,Down
169,8/31/1962,59.119999,Change,Short,9371.372015382636,-11.77759400194589,Over,Under,Up,Down,Down
170,9/4/1962,58.560001,Change,Long,9460.139770366364,-10.941931421604878,Over,Under,Up,Up,Up
171,9/5/1962,58.119999,Stay,Long,9389.059163328111,-11.611086606397835,Over,Under,Down,Down,Down
172,9/6/1962,58.360001,Stay,Long,9427.830550390885,-11.24609148669229,Over,Under,Down,Down,Down
173,9/7/1962,58.380001,Stay,Long,9431.061472388434,-11.21567548018354,Over,Over,Up,Down,Down
174,9/10/1962,58.450001,Stay,Long,9442.369699379851,-11.109219457402952,Over,Over,Up,Up,Down
175,9/11/1962,58.59,Change,Short,9464.985991816586,-10.896308932642096,Over,Over,Up,Up,Up
176,9/12/1962,58.84,Stay,Short,9424.599466847236,-11.276509014001368,Over,Over,Up,Up,Up
177,9/13/1962,58.700001,Stay,Short,9447.215759283972,-11.063598489240501,Over,Over,Up,Up,Up
178,9/14/1962,58.889999,Stay,Short,9416.522323399466,-11.352547509472899,Over,Over,Down,Up,Up
179,9/17/1962,59.080002,Stay,Short,9385.828079784462,-11.641504133706915,Over,Over,Up,Up,Up
180,9/18/1962,59.029999,Stay,Short,9393.905869416632,-11.565459555034074,Over,Over,Up,Up,Up
181,9/19/1962,58.950001,Stay,Short,9406.829234314624,-11.44379857059976,Over,Over,Down,Up,Up
182,9/20/1962,58.540001,Change,Long,9473.063135264356,-10.820270437170565,Over,Over,Down,Down,Up
183,9/21/1962,57.689999,Stay,Long,9335.51406670351,-12.11516191638089,Over,Over,Down,Down,Down
184,9/24/1962,56.630001,Stay,Long,9163.9830143338,-13.729960914712635,Under,Over,Down,Down,Down
185,9/25/1962,56.959999,Stay,Long,9217.383968127959,-13.22724257010115,Under,Over,Down,Down,Down
186,9/26/1962,56.150002,Stay,Long,9086.308590791106,-14.46119050608945,Under,Over,Up,Down,Down
187,9/27/1962,55.77,Stay,Long,9024.815887066576,-15.040084852082625,Under,Under,Down,Down,Down
188,9/28/1962,56.27,Stay,Long,9105.726913488186,-14.278385774192037,Under,Under,Down,Down,Down
189,10/1/1962,55.490002,Stay,Long,8979.506035914577,-15.466633288905063,Under,Under,Up,Up,Down
190,10/2/1962,56.099998,Stay,Long,9078.216840860732,-14.53736650747115,Under,Under,Down,Down,Down
191,10/3/1962,56.16,Stay,Long,9087.926487675431,-14.445959571327972,Under,Under,Up,Down,Up
192,10/4/1962,56.700001,Stay,Long,9175.310558032825,-13.623323043807966,Under,Under,Up,Up,Down
193,10/5/1962,57.07,Change,Short,9235.184555762766,-13.059667249567063,Under,Under,Up,Up,Up
194,10/8/1962,57.07,Stay,Short,9235.184555762766,-13.059667249567063,Under,Under,Up,Up,Up
195,10/9/1962,57.200001,Stay,Short,9214.147527071094,-13.257710533216772,Under,Under,Equal,Up,Up
196,10/10/1962,57.240002,Stay,Short,9207.674483135313,-13.318647982846166,Under,Under,Up,Up,Up
197,10/11/1962,57.049999,Stay,Short,9238.421158641684,-13.02919776305328,Under,Under,Up,Up,Up
198,10/12/1962,56.950001,Change,Long,9254.6030402819,-12.876860994271478,Under,Under,Down,Down,Down
199,10/15/1962,57.27,Stay,Long,9306.60415821493,-12.387320750739361,Under,Under,Down,Down,Down
200,10/16/1962,57.080002,Change,Short,9275.728722963444,-12.677983119029946,Under,Under,Up,Up,Up
201,10/17/1962,56.889999,Change,Long,9306.604970734936,-12.387313101649166,Under,Under,Down,Up,Up
202,10/18/1962,56.34,Stay,Long,9216.630924025967,-13.234331752175166,Under,Under,Down,Down,Down
203,10/19/1962,55.59,Stay,Long,9093.938819073544,-14.389359284760694,Under,Under,Down,Down,Down
204,10/22/1962,54.959999,Stay,Long,8990.877287324036,-15.359583952169253,Under,Under,Down,Down,Down
205,10/23/1962,53.490002,Stay,Long,8750.401252385707,-17.62343329592676,Under,Under,Down,Down,Down
206,10/24/1962,55.209999,Stay,Long,9031.77465564151,-14.974574774640747,Under,Under,Down,Down,Down
207,10/25/1962,54.689999,Stay,Long,8946.708129541163,-15.775393863900057,Under,Under,Up,Up,Down
208,10/26/1962,54.540001,Stay,Long,8922.170035729625,-16.006396290343737,Under,Under,Down,Up,Down
209,10/29/1962,55.720001,Stay,Long,9115.205614188104,-14.189152972409158,Under,Under,Down,Down,Up
210,10/30/1962,56.540001,Change,Short,9249.348982269417,-12.92632287011567,Under,Under,Up,Up,Up
211,10/31/1962,56.52,Stay,Short,9252.620935324287,-12.895520595876697,Under,Under,Up,Up,Up
212,11/1/1962,57.119999,Change,Long,9154.467414951823,-13.819541081908394,Under,Under,Down,Up,Up
213,11/2/1962,57.75,Change,Short,9255.435967592854,-12.869019789027124,Under,Under,Up,Up,Up
214,11/5/1962,58.349998,Stay,Short,9159.275914438156,-13.774273708760864,Under,Under,Up,Up,Up
215,11/7/1962,58.709999,Stay,Short,9101.5795299573,-14.317429379876545,Under,Under,Up,Up,Up
216,11/8/1962,58.32,Stay,Short,9164.083612588041,-13.729013879421137,Under,Under,Up,Up,Up
217,11/9/1962,58.779999,Change,Long,9090.360819693553,-14.423042689223164,Under,Under,Down,Down,Up
218,11/12/1962,59.59,Stay,Long,9215.627942517298,-13.243773853259311,Over,Under,Up,Up,Up
219,11/13/1962,59.459999,Stay,Long,9195.523212727816,-13.433040444219246,Over,Under,Up,Up,Up
220,11/14/1962,60.16,Stay,Long,9303.77877197249,-12.413919030241317,Over,Under,Down,Up,Up
221,11/15/1962,59.970001,Stay,Long,9274.39531680467,-12.690535848694996,Over,Under,Up,Up,Up
222,11/16/1962,60.16,Stay,Long,9303.77877197249,-12.413919030241317,Over,Under,Down,Up,Up
223,11/19/1962,59.82,Stay,Long,9251.197575455357,-12.908920152743287,Over,Under,Up,Equal,Up
224,11/20/1962,60.450001,Stay,Long,9348.627594240621,-11.991710734574578,Over,Under,Down,Down,Down
225,11/21/1962,60.810001,Stay,Long,9404.301802317583,-11.467591898984274,Over,Under,Up,Up,Up
226,11/23/1962,61.540001,Stay,Long,9517.196724251424,-10.404795371259478,Over,Under,Up,Up,Up
227,11/26/1962,61.360001,Stay,Long,9489.359620212943,-10.666854789054636,Over,Under,Up,Up,Up
228,11/27/1962,61.73,Stay,Long,9546.580179419243,-10.12817855280581,Over,Under,Down,Up,Up
229,11/28/1962,62.119999,Stay,Long,9606.893750185376,-9.560384603468608,Over,Under,Up,Up,Up
230,11/29/1962,62.41,Stay,Long,9651.742572453508,-9.13817630780187,Over,Under,Up,Up,Up
231,11/30/1962,62.259998,Stay,Long,9628.544676453617,-9.356562067735808,Over,Under,Up,Up,Up
232,12/3/1962,61.939999,Stay,Long,9579.056646146895,-9.822444021263765,Over,Under,Down,Up,Up
233,12/4/1962,62.639999,Stay,Long,9687.31205074099,-8.803324063171491,Over,Under,Down,Down,Down
234,12/5/1962,62.389999,Stay,Long,9648.6494062431,-9.167295476775871,Over,Under,Up,Up,Up
235,12/6/1962,62.93,Stay,Long,9732.160873009121,-8.381115767504754,Over,Under,Down,Up,Up
236,12/7/1962,63.060001,Stay,Long,9752.265602798603,-8.19184917654482,Over,Under,Up,Up,Up
237,12/10/1962,62.27,Stay,Long,9630.09149153469,-9.342000299420327,Over,Under,Up,Up,Up
238,12/11/1962,62.32,Stay,Long,9637.824020434267,-9.26920601669945,Over,Under,Down,Down,Down
239,12/12/1962,62.630001,Change,Short,9685.76585426223,-8.817880007944357,Over,Under,Up,Down,Down
240,12/13/1962,62.419998,Change,Long,9718.242939592194,-8.512139652859707,Over,Under,Up,Up,Down
241,12/14/1962,62.57,Stay,Long,9741.596927482817,-8.292284438705554,Over,Under,Down,Up,Up
242,12/17/1962,62.369999,Stay,Long,9710.45853644728,-8.585422281441279,Over,Under,Up,Down,Up
243,12/18/1962,62.07,Stay,Long,9663.75133912192,-9.025125381340137,Over,Under,Down,Down,Down
244,12/19/1962,62.580002,Stay,Long,9743.154150632388,-8.277624688489082,Over,Under,Down,Down,Down
245,12/20/1962,62.82,Stay,Long,9780.519721663266,-7.925863967388247,Over,Under,Up,Up,Up
246,12/21/1962,62.639999,Stay,Long,9752.495154162167,-8.189688172418585,Over,Under,Up,Up,Up
247,12/24/1962,62.630001,Stay,Long,9750.938553777301,-8.20434205990751,Over,Under,Down,Up,Up
248,12/26/1962,63.02,Stay,Long,9811.657957007626,-7.632727590334398,Over,Under,Down,Down,Up
249,12/27/1962,62.93,Stay,Long,9797.645751102664,-7.76463896000863,Over,Under,Up,Up,Up
250,12/28/1962,62.959999,Stay,Long,9802.316330713142,-7.720669969132432,Over,Under,Down,Up,Up
251,12/31/1962,63.099998,Stay,Long,9824.112939763016,-7.51547597087664,Over,Under,Up,Down,Up
252,1/2/1963,62.689999,Stay,Long,9760.279712998255,-8.116404078155137,Over,Under,Up,Up,Up
253,1/3/1963,63.720001,Stay,Long,9920.641936404061,-6.606748804964058,Over,Under,Down,Down,Down
254,1/4/1963,64.129997,Stay,Long,9984.47469609529,-6.005825094731232,Over,Under,Up,Up,Up
255,1/7/1963,64.120003,Stay,Long,9982.918718475132,-6.020473119492619,Over,Under,Up,Up,Up
256,1/8/1963,64.739998,Stay,Long,10079.446469586763,-5.111757679035134,Over,Under,Down,Up,Up
257,1/9/1963,64.589996,Stay,Long,10056.09248169614,-5.331612893189286,Over,Under,Up,Up,Up
258,1/10/1963,64.709999,Stay,Long,10074.775889976285,-5.155726669911331,Over,Under,Down,Up,Up
259,1/11/1963,64.849998,Stay,Long,10096.57249902616,-4.950532671655516,Over,Under,Up,Down,Up
260,1/14/1963,65.199997,Stay,Long,10151.064255187612,-4.437545477493188,Over,Under,Up,Up,Up
